"reference","slug","unit_reference","module_reference","title","description","skill_level_reference","image","published","order","directory"
"introduction","introduction","","","Introduction","","","","TRUE","1",""
"introduction-php","introduction-php","fondamentaux-php-introduction-php","fondamentaux-php","Introduction à PHP","","","","TRUE","2","fondamentaux-php"
"variables-types-données","variables-types-données","fondamentaux-php-variables-types-données","fondamentaux-php","Variables et types de données","","","","TRUE","3","fondamentaux-php"
"structures-contrôle","structures-contrôle","fondamentaux-php-structures-contrôle","fondamentaux-php","Structures de contrôle","","","","TRUE","4","fondamentaux-php"
"tableaux","tableaux","fondamentaux-php-tableaux","fondamentaux-php","Tableaux","","","","TRUE","5","fondamentaux-php"
"fonctions","fonctions","fondamentaux-php-fonctions","fondamentaux-php","Fonctions","","","","TRUE","6","fondamentaux-php"
"bonnes-pratiques","bonnes-pratiques","fondamentaux-php-bonnes-pratiques","fondamentaux-php","Bonnes pratiques","","","","TRUE","7","fondamentaux-php"
"introduction-formulaires","introduction-formulaires","formulaires-et-sessions-introduction-formulaires","formulaires-et-sessions","Introduction aux formulaires HTML","","","","TRUE","8","formulaires-et-sessions"
"traitement-données-formulaire-php","traitement-données-formulaire-php","formulaires-et-sessions-traitement-données-formulaire-php","formulaires-et-sessions","Traitement des données de formulaire en PHP","","","","TRUE","9","formulaires-et-sessions"
"introduction-sessions","introduction-sessions","formulaires-et-sessions-introduction-sessions","formulaires-et-sessions","Introduction aux sessions PHP","","","","TRUE","10","formulaires-et-sessions"
"authentification-utilisateurs","authentification-utilisateurs","formulaires-et-sessions-authentification-utilisateurs","formulaires-et-sessions","Authentification des utilisateurs","","","","TRUE","11","formulaires-et-sessions"
"sécurité-applications-web","sécurité-applications-web","formulaires-et-sessions-sécurité-applications-web","formulaires-et-sessions","Sécurité des applications web","","","","TRUE","12","formulaires-et-sessions"
"formulaires-et-sessions-projet-final","formulaires-et-sessions-projet-final","formulaires-et-sessions-projet-final","formulaires-et-sessions","Projet final : Mini-réseau social","","","","TRUE","13","formulaires-et-sessions"
"introduction-bases-données","introduction-bases-données","stockage-mysql-introduction-bases-données","stockage-mysql","Introduction aux bases de données relationnelles et à MySQL","","","","TRUE","14","stockage-mysql"
"création-manipulation-tables","création-manipulation-tables","stockage-mysql-création-manipulation-tables","stockage-mysql","Création et manipulation de tables","","","","TRUE","15","stockage-mysql"
"sql-requêtes-base","sql-requêtes-base","stockage-mysql-sql-requêtes-base","stockage-mysql","Le langage SQL : requêtes de base","","","","TRUE","16","stockage-mysql"
"jointures","jointures","stockage-mysql-jointures","stockage-mysql","Les jointures","","","","TRUE","17","stockage-mysql"
"connexion-mysql-php","connexion-mysql-php","stockage-mysql-connexion-mysql-php","stockage-mysql","Connexion à MySQL depuis PHP","","","","TRUE","18","stockage-mysql"
"sécurité-base-données","sécurité-base-données","stockage-mysql-sécurité-base-données","stockage-mysql","Sécurité en base de données","","","","TRUE","19","stockage-mysql"
"optimisation-requêtes-sql","optimisation-requêtes-sql","stockage-mysql-optimisation-requêtes-sql","stockage-mysql","Optimisation des requêtes SQL","","","","TRUE","20","stockage-mysql"
"stockage-mysql-projet-final","stockage-mysql-projet-final","stockage-mysql-projet-final","stockage-mysql","Projet final : Application de gestion de bibliothèque","","","","TRUE","21","stockage-mysql"
"connexion-base-données-mysql","connexion-base-données-mysql","php-mysql-connexion-base-données-mysql","php-mysql","Établir la connexion à une base de données MySQL","","","","TRUE","22","php-mysql"
"exécution-requêtes-sql-simples","exécution-requêtes-sql-simples","php-mysql-exécution-requêtes-sql-simples","php-mysql","Exécution de requêtes SQL simples","","","","TRUE","23","php-mysql"
"préparation-requêtes-injections-sql","préparation-requêtes-injections-sql","php-mysql-préparation-requêtes-injections-sql","php-mysql","Préparation des requêtes pour prévenir les injections SQL","","","","TRUE","24","php-mysql"
"manipulation-résultats-requête","manipulation-résultats-requête","php-mysql-manipulation-résultats-requête","php-mysql","Manipulation des résultats de requête","","","","TRUE","25","php-mysql"
"transactions","transactions","php-mysql-transactions","php-mysql","Transactions","","","","TRUE","26","php-mysql"
"optimisation-performances","optimisation-performances","php-mysql-optimisation-performances","php-mysql","Optimisation des performances","","","","TRUE","27","php-mysql"
"pdo-mysqli","pdo-mysqli","php-mysql-pdo-mysqli","php-mysql","PDO : une alternative à mysqli","","","","TRUE","28","php-mysql"
"projet-final","projet-final","php-mysql-projet-final","php-mysql","Projet final : Application de gestion de tâches","","","","TRUE","29","php-mysql"
"poo-en-php","poo-en-php","poo-php-poo-en-php","poo-php","Programmation Orientée Objet en PHP","","","","TRUE","30","poo-php"
"introduction-programmation-orientée-objet","introduction-programmation-orientée-objet","poo-php-introduction-programmation-orientée-objet","poo-php","Introduction à la programmation orientée objet","","","","TRUE","31","poo-php"
"encapsulation","encapsulation","poo-php-encapsulation","poo-php","Encapsulation","","","","TRUE","32","poo-php"
"héritage","héritage","poo-php-héritage","poo-php","Héritage","","","","TRUE","33","poo-php"
"polymorphisme","polymorphisme","poo-php-polymorphisme","poo-php","Polymorphisme","","","","TRUE","34","poo-php"
"relations-entre-objets","relations-entre-objets","poo-php-relations-entre-objets","poo-php","Les relations entre les objets","","","","TRUE","35","poo-php"
"design-patterns","design-patterns","poo-php-design-patterns","poo-php","Les design patterns","","","","TRUE","36","poo-php"
"poo-bases-de-données","poo-bases-de-données","poo-php-poo-bases-de-données","poo-php","La POO et les bases de données","","","","TRUE","37","poo-php"
"poo-php-projet-final","poo-php-projet-final","poo-php-projet-final","poo-php","Projet final : Application de gestion de bibliothèque (version POO)","","","","TRUE","38","poo-php"
"introduction-sécurité-php","introduction-sécurité-php","sécurité-php-introduction-sécurité-php","sécurité-php","Introduction à la sécurité en PHP","","","","TRUE","39","sécurité-php"
"injection-sql","injection-sql","sécurité-php-injection-sql","sécurité-php","Injection SQL","","","","TRUE","40","sécurité-php"
"xss-cross-site-scripting","xss-cross-site-scripting","sécurité-php-xss-cross-site-scripting","sécurité-php","XSS (Cross-Site Scripting)","","","","TRUE","41","sécurité-php"
"csrf-cross-site-request-forgery","csrf-cross-site-request-forgery","sécurité-php-csrf-cross-site-request-forgery","sécurité-php","CSRF (Cross-Site Request Forgery)","","","","TRUE","42","sécurité-php"
"inclusion-fichiers","inclusion-fichiers","sécurité-php-inclusion-fichiers","sécurité-php","Inclusion de fichiers","","","","TRUE","43","sécurité-php"
"gestion-sécurisée-sessions","gestion-sécurisée-sessions","sécurité-php-gestion-sécurisée-sessions","sécurité-php","Gestion sécurisée des sessions","","","","TRUE","44","sécurité-php"
"configuration-sécurisée-serveur","configuration-sécurisée-serveur","sécurité-php-configuration-sécurisée-serveur","sécurité-php","Configuration sécurisée du serveur","","","","TRUE","45","sécurité-php"
"sécurité-php-projet-final","sécurité-php-projet-final","sécurité-php-projet-final","sécurité-php","Projet final : Application de gestion de blog sécurisé","","","","TRUE","46","sécurité-php"
"design-patterns","design-patterns","techniques-avancés-php-design-patterns","techniques-avancés-php","Design Patterns","","","","TRUE","47","techniques-avancés-php"
"optimisation-des-performances","optimisation-des-performances","techniques-avancés-php-optimisation-des-performances","techniques-avancés-php","Optimisation des performances","","","","TRUE","48","techniques-avancés-php"
"tests-unitaires","tests-unitaires","techniques-avancés-php-tests-unitaires","techniques-avancés-php","Tests unitaires","","","","TRUE","49","techniques-avancés-php"
"api-rest","api-rest","techniques-avancés-php-api-rest","techniques-avancés-php","API REST","","","","TRUE","50","techniques-avancés-php"
"projet-final","projet-final","projet-final-projet-final","projet-final","Projet final : Développement d'une application web complète","","","","TRUE","51","projet-final"