"reference","slug","module_reference","title","description","mini-projet","Contenu","order","directory","permalink"
"fondamentaux-php-introduction-php","introduction-php","fondamentaux-php","Introduction à PHP","Découvrir le langage PHP, son environnement de développement et ses bases syntaxiques.","Créer une page HTML simple affichant un message de bienvenue personnalisé avec la date du jour.","* Qu'est-ce que PHP ?
* Installation et configuration d'un environnement de développement local (XAMPP, WAMP)
* Structure d'un fichier PHP
* Affichage de contenu avec `echo` et `print`
* Commentaires
* Les instructions","1","fondamentaux-php","fondamentaux-php/introduction-php"
"fondamentaux-php-variables-types-données","variables-types-données","fondamentaux-php","Variables et types de données","Comprendre les différents types de données en PHP et savoir manipuler des variables.","Créer un script qui calcule le périmètre et l'aire d'un cercle en demandant à l'utilisateur le rayon.","","2","fondamentaux-php","fondamentaux-php/variables-types-données"
"fondamentaux-php-structures-contrôle","structures-contrôle","fondamentaux-php","Structures de contrôle","Maîtriser les structures conditionnelles et les boucles pour contrôler le flux d'exécution d'un programme.","Créer un programme qui affiche la table de multiplication d'un nombre donné.","","3","fondamentaux-php","fondamentaux-php/structures-contrôle"
"fondamentaux-php-tableaux","tableaux","fondamentaux-php","Tableaux","Manipuler des collections de données à l'aide de tableaux.","Créer un programme qui stocke les noms de plusieurs fruits dans un tableau et les affiche un par un.","","4","fondamentaux-php","fondamentaux-php/tableaux"
"fondamentaux-php-fonctions","fonctions","fondamentaux-php","Fonctions","Définir et utiliser des fonctions pour structurer le code et le rendre réutilisable.","Créer une fonction qui calcule la factorielle d'un nombre.","","5","fondamentaux-php","fondamentaux-php/fonctions"
"fondamentaux-php-bonnes-pratiques","bonnes-pratiques","fondamentaux-php","Bonnes pratiques","Acquérir les bonnes pratiques pour écrire du code PHP propre, lisible et maintenable.","Améliorer le code d'un exercice précédent en appliquant les bonnes pratiques.","","6","fondamentaux-php","fondamentaux-php/bonnes-pratiques"
"formulaires-et-sessions-introduction-formulaires","introduction-formulaires","formulaires-et-sessions","Introduction aux formulaires HTML","Comprendre la structure et le fonctionnement des formulaires HTML.","Créer un formulaire simple pour collecter le nom et l'email d'un utilisateur, et afficher les données saisies dans une page de remerciement.","","7","formulaires-et-sessions","formulaires-et-sessions/introduction-formulaires"
"formulaires-et-sessions-traitement-données-formulaire-php","traitement-données-formulaire-php","formulaires-et-sessions","Traitement des données de formulaire en PHP","Apprendre à récupérer et à traiter les données envoyées par un formulaire en PHP.","Améliorer le formulaire de l'unité précédente en ajoutant une validation pour vérifier que l'adresse email est bien formatée.","","8","formulaires-et-sessions","formulaires-et-sessions/traitement-données-formulaire-php"
"formulaires-et-sessions-introduction-sessions","introduction-sessions","formulaires-et-sessions","Introduction aux sessions PHP","Comprendre le concept de session et apprendre à gérer l'état d'un utilisateur entre différentes pages.","Créer un compteur de visites qui utilise une session pour stocker le nombre de fois qu'un utilisateur visite le site.","","9","formulaires-et-sessions","formulaires-et-sessions/introduction-sessions"
"formulaires-et-sessions-authentification-utilisateurs","authentification-utilisateurs","formulaires-et-sessions","Authentification des utilisateurs","Mettre en place un système d'authentification simple pour contrôler l'accès à certaines parties d'un site web.","Créer un système d'authentification basique avec un formulaire d'inscription et de connexion.","","10","formulaires-et-sessions","formulaires-et-sessions/authentification-utilisateurs"
"formulaires-et-sessions-sécurité-applications-web","sécurité-applications-web","formulaires-et-sessions","Sécurité des applications web","Comprendre les principales vulnérabilités des applications web et les moyens de s'en protéger.","Analyser un code PHP vulnérable et proposer des solutions pour corriger les failles de sécurité.","","11","formulaires-et-sessions","formulaires-et-sessions/sécurité-applications-web"
"formulaires-et-sessions-projet-final","projet-final","formulaires-et-sessions","Projet final : Mini-réseau social","Synthétiser les connaissances acquises en développant une application web plus complexe.","","","12","formulaires-et-sessions","formulaires-et-sessions/projet-final"
"stockage-mysql-introduction-bases-données","introduction-bases-données","stockage-mysql","Introduction aux bases de données relationnelles et à MySQL","Comprendre le concept de base de données relationnelle et découvrir MySQL.","Créer une base de données simple pour gérer une liste de contacts (nom, prénom, email).","","13","stockage-mysql","stockage-mysql/introduction-bases-données"
"stockage-mysql-création-manipulation-tables","création-manipulation-tables","stockage-mysql","Création et manipulation de tables","Apprendre à créer des tables et à définir les structures de données."," Étendre la base de données de contacts en ajoutant une table ""adresses"" liée à la table ""contacts"".","","14","stockage-mysql","stockage-mysql/création-manipulation-tables"
"stockage-mysql-sql-requêtes-base","sql-requêtes-base","stockage-mysql","Le langage SQL : requêtes de base","Maîtriser les requêtes SQL de base pour sélectionner, insérer, mettre à jour et supprimer des données."," Créer une requête pour afficher la liste des contacts triés par nom, et une requête pour calculer le nombre total de contacts.","","15","stockage-mysql","stockage-mysql/sql-requêtes-base"
"stockage-mysql-jointures","jointures","stockage-mysql","Les jointures","Comprendre comment combiner les données de plusieurs tables.","Utiliser une jointure pour afficher les contacts avec leurs adresses correspondantes.","","16","stockage-mysql","stockage-mysql/jointures"
"stockage-mysql-connexion-mysql-php","connexion-mysql-php","stockage-mysql","Connexion à MySQL depuis PHP","Apprendre à se connecter à une base de données MySQL depuis un script PHP et à exécuter des requêtes.","Créer une page PHP qui affiche la liste des produits de la boutique en ligne (en utilisant la base de données créée précédemment).","","17","stockage-mysql","stockage-mysql/connexion-mysql-php"
"stockage-mysql-sécurité-base-données","sécurité-base-données","stockage-mysql","Sécurité en base de données","Comprendre les risques liés à la sécurité des bases de données et apprendre à s'en protéger.","Mettre en place un système d'authentification pour accéder à une zone administrateur de l'application de la boutique en ligne.","","18","stockage-mysql","stockage-mysql/sécurité-base-données"
"stockage-mysql-optimisation-requêtes-sql","optimisation-requêtes-sql","stockage-mysql","Optimisation des requêtes SQL","Apprendre à optimiser les requêtes SQL pour améliorer les performances de l'application.","Comparer les performances de différentes requêtes pour sélectionner des données dans une grande table.","","19","stockage-mysql","stockage-mysql/optimisation-requêtes-sql"
"stockage-mysql-projet-final","projet-final","stockage-mysql","Projet final : Application de gestion de bibliothèque","Développer une application web complète pour gérer une bibliothèque, en utilisant une base de données MySQL pour stocker les informations sur les livres, les auteurs, les lecteurs et les emprunts.","","","20","stockage-mysql","stockage-mysql/projet-final"
"php-mysql-connexion-base-données-mysql","connexion-base-données-mysql","php-mysql","Établir la connexion à une base de données MySQL","Comprendre comment établir une connexion à une base de données MySQL à partir de PHP.","Créer un script PHP qui tente de se connecter à une base de données MySQL et affiche un message de succès ou d'échec.","","21","php-mysql","php-mysql/connexion-base-données-mysql"
"php-mysql-exécution-requêtes-sql-simples","exécution-requêtes-sql-simples","php-mysql","Exécution de requêtes SQL simples"," Apprendre à exécuter des requêtes SQL simples pour récupérer des données.","Modifier le script précédent pour afficher le contenu d'une table spécifique.","","22","php-mysql","php-mysql/exécution-requêtes-sql-simples"
"php-mysql-préparation-requêtes-injections-sql","préparation-requêtes-injections-sql","php-mysql","Préparation des requêtes pour prévenir les injections SQL","Comprendre les risques des injections SQL et apprendre à s'en protéger.","Créer un formulaire de recherche qui permet de rechercher des produits dans la base de données en utilisant une requête préparée.","","23","php-mysql","php-mysql/préparation-requêtes-injections-sql"
"php-mysql-manipulation-résultats-requête","manipulation-résultats-requête","php-mysql","Manipulation des résultats de requête","Apprendre à parcourir et à traiter les résultats d'une requête SQL.","Créer une page qui affiche les résultats d'une recherche sous forme de tableau HTML.","","24","php-mysql","php-mysql/manipulation-résultats-requête"
"php-mysql-transactions","transactions","php-mysql","Transactions","Comprendre le concept de transaction et apprendre à l'utiliser pour garantir l'intégrité des données.","Créer une transaction pour insérer un nouveau produit et mettre à jour la quantité en stock.","","25","php-mysql","php-mysql/transactions"
"php-mysql-optimisation-performances","optimisation-performances","php-mysql","Optimisation des performances","Apprendre à optimiser les requêtes SQL et les connexions à la base de données.","Comparer les performances de différentes requêtes et mettre en place des index pour améliorer les temps de réponse.","","26","php-mysql","php-mysql/optimisation-performances"
"php-mysql-pdo-mysqli","pdo-mysqli","php-mysql","PDO : une alternative à mysqli","Découvrir PDO, une interface d'accès aux bases de données orientée objet.","Réécrire un script PHP existant en utilisant PDO.","","27","php-mysql","php-mysql/pdo-mysqli"
"php-mysql-projet-final","projet-final","php-mysql","Projet final : Application de gestion de tâches","Développer une application web complète pour gérer des tâches, en utilisant une base de données MySQL pour stocker les informations sur les tâches, les utilisateurs et les projets.","","","28","php-mysql","php-mysql/projet-final"
"poo-php-poo-en-php","poo-en-php","poo-php","Programmation Orientée Objet en PHP","","","","29","poo-php","poo-php/poo-en-php"
"poo-php-introduction-programmation-orientée-objet","introduction-programmation-orientée-objet","poo-php","Introduction à la programmation orientée objet","Comprendre les concepts de base de la POO.","Créer une classe simple représentant un animal (avec des propriétés comme le nom, l'âge et des méthodes comme manger, dormir).","","30","poo-php","poo-php/introduction-programmation-orientée-objet"
"poo-php-encapsulation","encapsulation","poo-php","Encapsulation","Apprendre à protéger les données internes d'une classe.","Améliorer la classe ""Animal"" en encapsulant les propriétés et en ajoutant des getters et setters.","","31","poo-php","poo-php/encapsulation"
"poo-php-héritage","héritage","poo-php","Héritage","Comprendre comment créer des classes filles qui héritent des propriétés et des méthodes d'une classe mère.","Créer une classe ""Chat"" qui hérite de la classe ""Animal"" et ajoute des propriétés et des méthodes spécifiques aux chats.","","32","poo-php","poo-php/héritage"
"poo-php-polymorphisme","polymorphisme","poo-php","Polymorphisme","Apprendre à utiliser le polymorphisme pour créer du code plus flexible.","Créer une interface ""Animal"" avec des méthodes génériques (par exemple, faireDuBruit()) et des classes concrètes qui implémentent cette interface (Chat, Chien).","","33","poo-php","poo-php/polymorphisme"
"poo-php-relations-entre-objets","relations-entre-objets","poo-php","Les relations entre les objets","Comprendre les différentes relations qui peuvent exister entre les objets (association, agrégation, composition).","Créer une classe ""Commande"" qui est composée d'objets ""Produit"".","","34","poo-php","poo-php/relations-entre-objets"
"poo-php-design-patterns","design-patterns","poo-php","Les design patterns","Découvrir les design patterns les plus courants et leur utilisation."," Implémenter un design pattern simple dans une application.","","35","poo-php","poo-php/design-patterns"
"poo-php-poo-bases-de-données","poo-bases-de-données","poo-php","La POO et les bases de données","Apprendre à utiliser la POO pour interagir avec une base de données.","Créer une classe ""Utilisateur"" qui représente une ligne d'une table ""utilisateurs"" dans une base de données.","","36","poo-php","poo-php/poo-bases-de-données"
"poo-php-projet-final","projet-final","poo-php","Projet final : Application de gestion de bibliothèque (version POO)","Revoir l'application de gestion de bibliothèque développée dans les modules précédents en utilisant la POO pour structurer le code.","","","37","poo-php","poo-php/projet-final"
"sécurité-php-introduction-sécurité-php","introduction-sécurité-php","sécurité-php","Introduction à la sécurité en PHP","Comprendre les enjeux de la sécurité en PHP et les principales menaces.","Identifier les vulnérabilités potentielles dans un code PHP simple.","","38","sécurité-php","sécurité-php/introduction-sécurité-php"
"sécurité-php-injection-sql","injection-sql","sécurité-php","Injection SQL","Apprendre à prévenir les attaques par injection SQL.","Sécuriser une requête SQL qui utilise des données fournies par l'utilisateur.","","39","sécurité-php","sécurité-php/injection-sql"
"sécurité-php-xss-cross-site-scripting","xss-cross-site-scripting","sécurité-php","XSS (Cross-Site Scripting)","Apprendre à prévenir les attaques XSS.","Sécuriser un formulaire d'inscription en filtrant les données saisies par l'utilisateur.","","40","sécurité-php","sécurité-php/xss-cross-site-scripting"
"sécurité-php-csrf-cross-site-request-forgery","csrf-cross-site-request-forgery","sécurité-php","CSRF (Cross-Site Request Forgery)","Apprendre à prévenir les attaques CSRF.","Implémenter des tokens CSRF dans un formulaire de modification de profil.","","41","sécurité-php","sécurité-php/csrf-cross-site-request-forgery"
"sécurité-php-inclusion-fichiers","inclusion-fichiers","sécurité-php","Inclusion de fichiers","Apprendre à sécuriser l'inclusion de fichiers.","Sécuriser un script qui inclut des fichiers en fonction d'un paramètre GET.","","42","sécurité-php","sécurité-php/inclusion-fichiers"
"sécurité-php-gestion-sécurisée-sessions","gestion-sécurisée-sessions","sécurité-php","Gestion sécurisée des sessions","Apprendre à gérer les sessions de manière sécurisée.","Mettre en place un système de connexion sécurisé avec gestion des sessions.","","43","sécurité-php","sécurité-php/gestion-sécurisée-sessions"
"sécurité-php-configuration-sécurisée-serveur","configuration-sécurisée-serveur","sécurité-php","Configuration sécurisée du serveur","Apprendre à configurer correctement un serveur web pour renforcer la sécurité.","Configurer un serveur Apache pour renforcer la sécurité.","","44","sécurité-php","sécurité-php/configuration-sécurisée-serveur"
"sécurité-php-projet-final","projet-final","sécurité-php","Projet final : Application de gestion de blog sécurisé","Développer une application de blog complète et sécurisée, en appliquant toutes les notions vues dans ce module.","","","45","sécurité-php","sécurité-php/projet-final"
"techniques-avancés-php-design-patterns","design-patterns","techniques-avancés-php","Design Patterns","Apprendre à utiliser les design patterns pour résoudre des problèmes courants en programmation.","Implémenter un design pattern dans une application existante.","","46","techniques-avancés-php","techniques-avancés-php/design-patterns"
"techniques-avancés-php-optimisation-des-performances","optimisation-des-performances","techniques-avancés-php","Optimisation des performances","Apprendre à optimiser les performances d'une application PHP.","Mesurer les performances d'une application et mettre en place des optimisations.","","47","techniques-avancés-php","techniques-avancés-php/optimisation-des-performances"
"techniques-avancés-php-tests-unitaires","tests-unitaires","techniques-avancés-php","Tests unitaires","Comprendre l'importance des tests unitaires et apprendre à les écrire.","Écrire des tests unitaires pour une classe existante.","","48","techniques-avancés-php","techniques-avancés-php/tests-unitaires"
"techniques-avancés-php-api-rest","api-rest","techniques-avancés-php","API REST","Créer et consommer des API RESTful.","Créer une API RESTful simple pour gérer des ressources (ex : articles de blog)","","49","techniques-avancés-php","techniques-avancés-php/api-rest"
"projet-final-projet-final","projet-final","projet-final","Projet final : Développement d'une application web complète","Développer une application web complexe en utilisant tous les concepts appris dans ce module, en choisissant un framework PHP et en appliquant les bonnes pratiques de développement.","","","50","projet-final","projet-final/projet-final"